United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1980,1,37.7,29.9,45.0,27.8,47.2,26.6,48.6,1,2.6,1.5,2.8,1.3,3.7,1.1,4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.4,2.8,1.3,3.6,1.0,4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,42.4,32.8,50.6,30.4,54.5,28.7,57.2
1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.5,2.0,1.3,2.2,1.0,2.5,1,1.3,1.1,1.3,0.8,1.5,0.6,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.2,2.6,3.3,2.1,3.7,1.6,4.4
1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.6,3.0,2.2,3.1,2.0,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.4,2.2,1.2,2.5,0.1,2.9,3,5.1,4.0,5.2,3.4,5.6,2.1,6.7
1983,1,8.9,6.3,10.2,5.6,11.3,5.2,12.0,2,9.1,7.9,11.0,7.4,11.5,7.1,11.9,1,6.0,4.8,7.1,4.6,7.3,4.6,7.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.8,6.0,8.7,5.5,9.2,5.2,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,32.8,25.0,37.0,23.1,39.3,22.1,40.8
1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.7,3.2,2.5,3.7,2.2,4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.7,3.2,2.5,3.7,2.2,4.1
1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8,2.4,4.2,2.2,4.6,2.0,5.0,1,3.3,2.7,3.5,2.6,3.9,2.3,4.3,1,1.6,1.3,1.7,1.2,1.9,1.1,2.1,3,9.8,6.7,9.8,6.1,10.6,5.6,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,2.4,2.6,2.3,2.6,2.3,2.7,7,20.8,15.5,21.8,14.4,23.6,13.3,25.1
1986,1,4.8,3.9,5.6,3.6,6.1,3.4,6.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.1,1.5,1.0,1.6,1.0,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.2,5.0,7.1,4.6,7.7,4.4,8.0
1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1,50.6,38.5,61.6,35.7,64.4,34.4,65.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.6,38.5,61.6,35.7,64.4,34.4,65.8
1989,1,7.2,6.4,8.4,6.0,8.7,5.7,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.8,3.7,5.9,3.5,6.1,3.4,6.2,1,1.3,1.2,1.3,1.1,1.5,1.0,1.6,2,22.5,20.2,23.7,19.5,24.4,18.9,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,1.5,1.9,1.4,1.9,1.4,2.0,6,37.4,33.0,41.2,31.5,42.6,30.4,43.8
