index,paragraphs,urls,gpt_label,gpt_super_claim,gpt_sub_claim,CARDS_label,CARDS_super_claim,CARDS_sub_claim,expert_label,expert_super_claim,expert_sub_claim
731980,ating. the suggestion that green agenda policies should proceed regardless of the current chaos will also likely not be well accepted by many in germany who have been stuck with rapidly increasing inflation as various enterprises in the country go bust. with many in the central european state now struggling with fuel and food costs as we enter winter polling released by bild has revealed that just under one third of people in the country say that they will not have the money to buy loved ones christmas pres,https://www.breitbart.com/europe/2022/11/08/britains-sunak-says-ukraine-war-an-excuse-to-push-green-agenda-even-harder/,0_0,0,0,0_0,0,0,0_0,0,0
130540, motors. but they can influence huge numbers of businesses. individuals businesses even governments have blackrock manage their pension funds. it controls where these funds go and can deny businesses access to billions of dollars in investments. blackrock is one of the big three passive asset managers vanguard and state street being the other two. these three own percent of the average s p company. passive asset managers used to be just that passive. they don t pick and choose which companies to invest in p,https://www.thetrumpet.com/25267-fundamentally-reshaping-america-through-finance,0_0,0,0,0_0,0,0,0_0,0,0
641671,cori bush tweeted the following we must eliminate obstacles preventing people with disabilities from accessing quality reproductive health care.our reproductive health care accessibility act removes barriers uplifts people with disabilities in the fight for reproductive justice.washingtonpost.com politics read on twitter here are other recent tweets from cori bush the death of michael brown changed the trajectory of my life.it s an honor to work with his mother lezley mcspadden to introduce helpingfamiliesh,https://northstlnews.com/stories/632800456-missouri-u-s-rep-cori-bush-we-must-eliminate-obstacles-preventing-people-with-disabilities-from-accessing-quality-reproductive,0_0,0,0,0_0,0,0,0_0,0,0
220674,... by posted onby red badger homeless veterans camp in the streets while illegal aliens are put up in hotels..................... to conservative no one wins on talent anymore. it s color and whatever the sexual deviancy dujour is. by posted onby tuffydoodle god s character and moral nature are absolute eternal and unchanging. to uptowngirl well heck yeah. with swag bags valued at k per i might even go. by posted onby rktman destroy america from within check wth enlisted usn to end up with this to conserva,https://freerepublic.com/focus/f-chat/4050409/posts,0_0,0,0,0_0,0,0,0_0,0,0
749069,uations let us seize opportunities to bear witness to the gospel of joy and to build a fraternal world or at least a bit more fraternal. pope francis has frequently railed against a politics of fear as an enemy of the democratic process but has also stoked fears of an impending climate apocalypse in order to incite people to action. in a speech delivered at the vatican francis denounced making political decisions based on fear because fear weakens and destabilizes us destroys our psychological and spiritual,https://www.breitbart.com/faith/2022/11/14/pope-francis-threatens-climate-crisis-while-decrying-prophets-of-doom/,0_0,0,0,0_0,0,0,5_2,5,2
987,s the powerful building trades whose workers build repair and operate the plants also oppose the initiative. organized labor s opposition has made some democrats waver on the vote even if addressing climate change is a top priority for many in the party. dozens of democratic lawmakers have voted against the initiative when it has come up for a floor vote in the past two years. seeking to block a carbon tax the house fell short of a veto proof majority. how in the old days capitol sources note such disloyalt,https://freerepublic.com/focus/f-news/4026634/posts,0_0,0,0,0_0,0,0,0_0,0,0
484880, day and which could rise if biden s plan goes forward. david harsanyi recently wrote at the new york post democrats high spending inflation reduction act will do just the opposite the first thing to remember about the reconciliation bill sens. joe manchin and chuck schumer agreed to wednesday is that despite its utterly preposterous name it has absolutely zero to do with inflation. the inflation reduction act is crammed with the very same spending corporate welfare price fixing and tax hikes that were part,https://legalinsurrection.com/2022/07/surprise-misleadingly-named-inflation-reduction-act-will-raise-taxes-even-on-the-middle-class/,0_0,0,0,4_1,4,1,0_0,0,0
2778,ough he campaigned on the issue in newsom was less willing to discuss a measure introduced in the legislature last week that would transition california to a single payer health care system entirely publicly funded and managed by the government. i have not had the opportunity to read that plan and no one has presented it to me he said. will taxpayers get some money back state tax collection has been so robust that california may for the first time in decades exceed a constitutionally mandated spending cap a,https://www.newsbreak.com/news/2482561263002/what-to-know-about-newsom-s-budget-blueprint,0_0,0,0,0_0,0,0,0_0,0,0
68241, event it s going to be post that either a second quarter event or honestly probably more likely sometime in the fourth quarter after the election. julien dumoulin smith bank of america merrill lynch analyst yeah i got you there. feel free to open any more on the guidance. i know that it s probably pre empting a little bit the june analyst day regardless. and then maybe if i could pivot in brief any thoughts or comments you d like to share around some of the headlines pertaining to fpl here i know there s b,https://www.newsbreak.com/news/2495360255826/nextera-energy-nee-q4-2021-earnings-call-transcript,0_0,0,0,0_0,0,0,0_0,0,0
318130,an the frequency in. conclusion the motivation for the un s urgent call to action is laid out on their web site that summarizes the transforming governance for a resilient future report. the motivation for calls for action is captured by the three graphs given above that the report claims to show increasingly frequent disasters that require that we change governance systems including reworking financial systems to enable more governmental control. fortunately it appears as though the un analyses of risk bas,https://wattsupwiththat.com/2022/05/14/un-the-world-is-going-to-end-kink-analysis-says-otherwise/,0_0,0,0,0_0,0,0,0_0,0,0
411089,donors. it seems pretty straightforward the supreme court is telling congress to do its job and pass laws just as the constitution requires it to do and thereby face the consequences of those laws. political accountability is essential if laws are to be made after all. there is no accountability for bureaucrats who cannot be fired under civil service regulations. but justice kagan who wrote a dissent that was also signed by justices sotomayor and breyer entirely misses the point the court appoints itself in,https://www.americanthinker.com/blog/2022/07/justice_kagans_sophomoric_misunderstanding_of_emwest_virginia_v_environmental_protection_agencyem.html,0_0,0,0,0_0,0,0,0_0,0,0
701526,lways been about the election and not about defending democracy. concurrently democrats have embraced abortion as their signature campaign issue. they have raged across america about republicans controlling women s bodies. merrick garland the attorney general began publicly rounding up pro life activists who had protested outside abortion clinics. at least such activists have been frog marched from their homes at gunpoint all designed to energize democratic voters. there has been no outrage about the attorn,https://townhall.com/columnists/erickerickson/2022/10/28/the-multimillion-dollar-payment-to-kill-american-democracy-n2615138,0_0,0,0,0_0,0,0,0_0,0,0
631620,pread even in places far from where it made landfall. this is a big one and i think we all know there s going to be major major impacts he said. the governor said the storm s surge has likely peaked according to state meteorologists.. pm bst dramatic video has emerged of the storm surge captured by a camera f t off the ground on estero boulevard in fort myers beach florida amid hurricane ian. the video shows torrential floods and powerful winds with trees blowing intensely in the background.. pm bst numerou,https://www.newsbreak.com/news/2764508786848/hurricane-ian-latest-updates-2-million-in-florida-lose-power-as-storm-moves-inland-live,0_0,0,0,0_0,0,0,0_0,0,0
585289,being there. what is less public are the key policy persons running economic policy for biden inc. they are simply said blackrock. much as goldman sachs ran economic policy under obama and also trump today blackrock is filling that key role. the deal apparently was sealed in january when joe biden then candidate and long shot chance to defeat trump went to meet with larry fink in new york who reportedly told working class joe that i m here to help. now as president in one of his first appointees biden named,https://www.blacklistednews.com/article/83447/blackrock-unregulated-investment-firm-now-rules-the.html,0_0,0,0,0_0,0,0,0_0,0,0
110270,climate provisions that they wanted. they don t have the fact that they don t have to swallow their pride and vote for the infrastructure bill knowing that they were probably not going to end up getting all the other things that they wanted. and you had alexandria ocasio cortez go to texas this week to try to primary a decent member of congress a democrat who s now possibly going to lose in the primary because of aoc. ford jr. henry cuellar you re talking about perino yes. henry cuellarwho has been really g,https://www.foxnews.com/transcript/the-five-reacts-to-the-most-recent-hillary-clinton-scandal,0_0,0,0,0_0,0,0,0_0,0,0
655651,tee my top priority is mental health. we re facing a mental health crisis. so we need more counseling resources and need to destigmatize mental health in the classroom. and then supporting teachers against these extremist attacks and making sure they have freedom to teach as they think is best and feel respected. my teachers have really given me the world they are the reason i felt so empowered. and finally climate action. this is one of the most important issues for students and for young people worldwide.,https://www.newsbreak.com/news/2776595872394/it-s-on-us-to-fight-the-student-climate-activist-energizing-a-us-school-board,0_0,0,0,0_0,0,0,0_0,0,0
5611,ire in recent years because of the comments he made during the ted talk show about reducing carbon emissions. during the presentation gates talked about using vaccines to control population growth. microsoft co founder added that one of the factors contributing to high levels of carbon emissions is population growth and that better health care could help lower unsustainable population growth. the video has since been deleted from youtube. however you can now watch the video here.,https://techstartups.com/2022/01/19/bill-gates-warns-pandemics-potentially-far-worse-covid-19-calls-governments-prepare-next-global-outbreak/,0_0,0,0,0_0,0,0,0_0,0,0
180439, are not able to do that where banking systems through treasury through the sec are blocking financial institutions or bullying financial institutions to not allow investment by american banks into american production of energy. it is real. it is going on. it is a problem. and it is why many of those energy companies are making their billions of investments in other countries right now. time again when you have john kerry the president s global warming czar just the other day saying he hopes russia helps us,https://racinesun.com/stories/621327895-march-3-congressional-record-publishes-legislative-program-in-the-house-of-representatives-section,0_0,0,0,0_0,0,0,0_0,0,0
663333,cally marginalized by western medicine. umms students also committed to climate advocacy stating health is intimately connected to our environment we commit to healing our planet and communities. in light of the white coats heal legacy as a symbol of power prestige and dominance we strive to reclaim their identity as a symbol of responsibility humility and loving kindness the oath concluded. the entirety of the oath was printed in the flyer handed out at the ceremony and i have taken screenshots of it most ,https://hotair.com/david-strom/2022/10/11/the-next-generation-of-doctors-will-be-woke-n502572,0_0,0,0,0_0,0,0,0_0,0,0
268859,g or transportation industries which are closer to percent. agriculture is the only industry where a by product of their operations can offset some of those emissions kelton said. through practices such as planting cover crops for winter using no till or reduced tillage and nutrient management crop producers can capture and store carbon from the environment. while these practices have been long standing the introduction of carbon credits looks to build off of this infrastructure to further offset emissions.,https://auburntimes.com/stories/623638839-carbon-credits-crop-producers-latest-role-in-sustainability,0_0,0,0,0_0,0,0,0_0,0,0
753104,rica. see soros and the leftwing world he has created and funded as never before in the billionaire who thinks he s god why george soros is obsessed with destroying america. for years wnd has boldly brought you the news that really matters. if you appreciate our christian journalists and their uniquely truthful reporting and analysis please help us by becoming a wnd insider content created by the wnd news center is available for re publication without charge to any eligible news publisher that can provide a,https://conservativefiringline.com/biden-hands-xi-jinping-a-propaganda-victory/,0_0,0,0,0_0,0,0,0_0,0,0
694208,president biden spoke to dnc staffers today and attempts were made to fire up the audience and get them excited for the huge lies they were about to hear and will be expected to pass along to others joe biden is about to speak to some dnc staffers and they seem very excited about it. who do we want joe when do we want him now pic.twitter.com dzpqg hhnx greg price greg price october fired up neither are we. this is not very genuine. https t.co p i omem scott kauz prof kauz october hopefully biden enjoyed the,https://twitchy.com/dougp-3137/2022/10/24/cheerleader-tries-to-get-dnc-audience-fired-up-for-biden-gaslight-a-palooza-ensues/,0_0,0,0,0_0,0,0,0_0,0,0
1931,if you liked my post feel free to subscribe to my rss feeds.,https://www.thepiratescove.us/2022/01/08/climate-cult-wants-military-to-do-their-part-in-mitigating-climate-crisis-scam/,0_0,0,0,0_0,0,0,0_0,0,0
674760,dations institutions and institutes within germany and also within other vassal states around europe. and all this of course to buy german loyalty especially among bright young people. the us and us connection became the place and the way to go for money influence prestige power and success. that also attracted me of course except that the outcome might not have been quite as expected. to name just a few such influencer institutions besides the ivy league universities foremost the council on foreign relatio,https://www.lewrockwell.com/?post_type=pending-article&p=849921,0_0,0,0,0_0,0,0,0_0,0,0
769860,n met general secretary xi jinping in indonesia on nov.. greenberg s involvement in politics dates back decades and in recent years he s donated heavily to the republican party giving million to a super pac which supported jeb bush s presidential campaign in. in addition to greenberg individuals accompanied him to meet with cpifa including former connecticut democratic sen. joe lieberman and former ambassador to china max baucus both of whom belong to a new group greenberg formed in july which allegedly aim,https://dailycaller.com/2022/11/23/maurice-greenberg-biden-schweizer-joe-lieberman-max-baucus/,0_0,0,0,0_0,0,0,0_0,0,0
