source,Claims,Frequency
http://www.ronpaulinstitute.org/archives/featured-articles/2020/july/13/citizens-forced-to-breathe-deadly-climate-change-gas/,no claim,2
https://act.greenpeace.org/page/92158/data/1?locale=en-GB,no claim,1
https://amgreatness.com/2020/01/14/environmentalists-caused-australias-fires-not-climate-change/,no claim,23
https://amgreatness.com/2020/01/14/environmentalists-caused-australias-fires-not-climate-change/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",3
https://amgreatness.com/2020/01/14/environmentalists-caused-australias-fires-not-climate-change/,Climate movement is unreliable/alarmist/corrupt,1
https://boundingintocomics.com/2020/01/11/joker-actor-joaquin-phoenix-arrested-at-jane-fondas-climate-change-protest/,no claim,18
https://brightside.me/wonder-curiosities/15-photos-that-prove-climate-change-is-not-a-joke-795314/,no claim,18
https://brightside.me/wonder-curiosities/30-photos-that-are-clear-proof-climate-change-is-real-801126/,no claim,27
https://capforcanada.com/does-united-nations-climate-refugee-policy-spell-the-end-of-english-canada/,no claim,25
https://capforcanada.com/does-united-nations-climate-refugee-policy-spell-the-end-of-english-canada/,Climate policies (mitigation or adaptation) are harmful,1
https://childrenshealthdefense.org/defender/bill-gates-new-book-wrong-on-climate-farming/,no claim,46
https://childrenshealthdefense.org/defender/bill-gates-new-book-wrong-on-climate-farming/,Climate policies (mitigation or adaptation) are harmful,4
https://childrenshealthdefense.org/defender/nature-based-solutions-climate-crisis/,no claim,69
https://childrenshealthdefense.org/defender/nature-based-solutions-climate-crisis/,Climate policies (mitigation or adaptation) are harmful,2
https://childrenshealthdefense.org/defender/nature-based-solutions-climate-crisis/,Climate policies areinefective/fawed,2
https://childrenshealthdefense.org/defender/pesticides-marketing-climate-solution-investigation/,no claim,67
https://childrenshealthdefense.org/defender/pesticides-marketing-climate-solution-investigation/,Climate policies (mitigation or adaptation) are harmful,1
https://childrenshealthdefense.org/defender/pesticides-marketing-climate-solution-investigation/,People need energy (e.g. from fossil fuels/nuclear),1
https://climatism.blog/2020/03/07/46-statements-by-ipcc-experts-against-the-ipcc/,no claim,17
https://conservativewoman.co.uk/the-world-goes-climate-crazy-just-to-make-one-problem-child-happy/,no claim,8
https://conservativewoman.co.uk/the-world-goes-climate-crazy-just-to-make-one-problem-child-happy/,Climate movement is unreliable/alarmist/corrupt,1
https://dailycaller.com/2020/01/10/joaquin-phoenix-flew-plane-dc-climate-change-fight/,no claim,7
https://dailycaller.com/2020/01/10/trump-california-wildfires-experts-climate-change/,no claim,16
https://dailycaller.com/2020/01/17/donald-trump-9th-circuit-court/,no claim,9
https://dailycaller.com/2020/02/03/greta-thunberg-nobel-peace-prize/,no claim,9
https://dailycaller.com/2020/02/17/amazon-climate-fund-jeff-bezos/,no claim,11
https://dailycaller.com/2020/03/31/obama-climate-change-coronavirus-trump-rule-change/,no claim,7
https://dailycaller.com/2020/05/13/report-green-new-deal-alexandria-ocasio-cortez-joe-biden-campaign-team-climate-change-advisor/,no claim,10
https://dailycaller.com/2020/05/14/teenage-climate-change-activist-greta-thunberg-expert-cnn-covid-19-coronavirus-town-hall/,no claim,9
https://dailycaller.com/2020/08/25/tucker-carlson-world-health-organization-linking-coronavirus-climate-change/,no claim,13
https://dailycaller.com/2020/09/10/barack-obama-climate-change-election-wildfires-california/,no claim,8
https://dailycaller.com/2020/09/14/joe-biden-suburbs-burned-wildfires-climate-arsonist-donald-trump-reelected/,no claim,10
https://dailycaller.com/2020/09/14/trump-casts-doubts-about-climate-change-during-briefing-on-california-wildfires/,no claim,9
https://dailycaller.com/2020/09/14/trump-casts-doubts-about-climate-change-during-briefing-on-california-wildfires/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",1
https://dailycaller.com/2020/11/04/donald-trump-paris-united-states-climate-change/,no claim,9
https://dailycaller.com/2020/11/23/joe-biden-to-appoint-john-kerry-as-climate-czar-and-add-him-to-the-national-security-council/,no claim,7
https://dailycaller.com/2020/11/25/joe-biden-priorities-citizenship-illegal-aliens-overturning-donald-trump-executive-orders-climate/,no claim,10
https://dailycaller.com/2020/12/17/biden-climate-change-carbon-tax-greenhouse-gas-emissions-energy-prices/,no claim,9
https://dailycaller.com/2020/12/17/biden-climate-change-carbon-tax-greenhouse-gas-emissions-energy-prices/,Climate policies (mitigation or adaptation) are harmful,4
https://dailycaller.com/2020/12/17/biden-climate-change-carbon-tax-greenhouse-gas-emissions-energy-prices/,Climate policies areinefective/fawed,1
https://dailycaller.com/2020/12/19/biden-energy-climate-nominee-haaland-granholm/,no claim,11
https://dailycaller.com/2021/01/20/joe-biden-executive-orders-paris-climate-accords-masks-undeserved-communties/,no claim,8
https://dailycaller.com/2021/01/21/rashida-tlaib-calls-ted-cruz-dumbass-biden-paris-climate-agreement/,no claim,11
https://dailycaller.com/2021/01/21/rashida-tlaib-calls-ted-cruz-dumbass-biden-paris-climate-agreement/,Climate policies (mitigation or adaptation) are harmful,2
https://dailycaller.com/2021/01/21/ted-cruz-joe-biden-paris-climate-accord-pittsburgh/,no claim,9
https://dailycaller.com/2021/01/21/ted-cruz-joe-biden-paris-climate-accord-pittsburgh/,Climate policies (mitigation or adaptation) are harmful,4
https://dailycaller.com/2021/01/25/fema-climate-change-covid-19-funding/,no claim,9
https://dailycaller.com/2021/01/26/schumer-biden-climate-emergency-powers-msnbc-rachel-maddow/,no claim,12
https://dailycaller.com/2021/01/27/energy-department-jennifer-granholm-fossil-fuel-jobs-sacrificed-renewable-climate/,no claim,13
https://dailycaller.com/2021/01/27/energy-department-jennifer-granholm-fossil-fuel-jobs-sacrificed-renewable-climate/,Climate policies (mitigation or adaptation) are harmful,2
https://dailycaller.com/2021/01/27/john-kerry-family-private-jet-climate/,no claim,10
https://dailycaller.com/2021/01/27/joy-reid-suggests-ignoring-climate-change-provoke-alien-attack/,no claim,6
https://dailycaller.com/2021/02/02/rick-perry-private-jet-john-kerry-climate/,no claim,10
https://dailycaller.com/2021/02/05/michael-bloomberg-climate-change-emissions-private-jets-united-nations/,no claim,11
https://dailycaller.com/2021/02/05/michael-bloomberg-climate-change-emissions-private-jets-united-nations/,Climate policies (mitigation or adaptation) are harmful,1
https://dailycaller.com/2021/02/17/los-angeles-unified-school-district-cuts-police-climate-coaches-george-floyd/,no claim,15
https://dailycaller.com/2021/02/18/james-murdoch-private-jet-climate-change/,no claim,27
https://dailycaller.com/2021/02/19/john-kerry-says-9-years-left-until-climate-catastrophe/,no claim,7
https://dailycaller.com/2021/02/19/john-kerry-says-9-years-left-until-climate-catastrophe/,Climate policies (mitigation or adaptation) are harmful,1
https://dailycaller.com/2021/03/11/john-kerry-joe-biden-climate-change/,no claim,9
https://dailycaller.com/2021/04/01/biden-infrastructure-plan-climate-change-green-agenda-subsidies-electric-vehicles/,no claim,13
https://dailycaller.com/2021/04/01/biden-infrastructure-plan-climate-change-green-agenda-subsidies-electric-vehicles/,Climate policies (mitigation or adaptation) are harmful,3
https://dailycaller.com/2021/04/08/flashback-climate-czar-john-kerry-2009-arctic-summer-ice-disappear-5-years/,no claim,6
https://dailycaller.com/2021/04/08/flashback-climate-czar-john-kerry-2009-arctic-summer-ice-disappear-5-years/,Ice/permafrost/snow cover isn’t melting,3
https://dailycaller.com/2021/04/08/greg-gutfeld-fox-news-the-new-york-times/,no claim,7
https://dailycaller.com/2021/04/08/greg-gutfeld-fox-news-the-new-york-times/,Climate policies (mitigation or adaptation) are harmful,2
https://dailycaller.com/2021/04/09/greta-thunberg-united-nations-climate-conference-vaccine-inequality/,no claim,8
https://dailycaller.com/2021/04/09/john-kerrys-family-travels-country-private-jet-promotes-joe-biden-climate-agenda-asia/,no claim,9
https://dailycaller.com/2021/04/18/john-kerry-joe-biden-china-climate-crisis-paris-agreement/,no claim,10
https://dailycaller.com/2021/04/22/climate-activists-extinction-rebellion-cow-poop-white-house-biden-protest/,no claim,12
https://dailycaller.com/2021/04/22/john-kerry-remove-carbon-atmosphere-leaders-summit-climate-change/,no claim,8
https://dailycaller.com/2021/04/25/steven-koonin-obama-administration-climate-change-rhetoric-agenda-driven-book/,no claim,4
https://dailycaller.com/2021/04/25/steven-koonin-obama-administration-climate-change-rhetoric-agenda-driven-book/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,2
https://dailycaller.com/2021/04/25/steven-koonin-obama-administration-climate-change-rhetoric-agenda-driven-book/,Climate movement is unreliable/alarmist/corrupt,2
https://dailycaller.com/2021/04/25/steven-koonin-obama-administration-climate-change-rhetoric-agenda-driven-book/,Ice/permafrost/snow cover isn’t melting,1
https://dailycaller.com/2021/04/25/steven-koonin-obama-administration-climate-change-rhetoric-agenda-driven-book/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",1
https://dailycaller.com/2021/04/27/john-kerry-human-rights-uyghurs-china-climate/,no claim,9
https://dailycaller.com/2021/04/29/seattle-police-officers-quit-last-year-citing-anti-police-climate/,no claim,9
https://dailycaller.com/2021/05/06/bidens-national-day-prayer-proclamation-no-mention-god/,no claim,9
https://dailycaller.com/2021/05/28/kamala-harris-naval-academy-climate-change-national-security-solar-panels/,no claim,10
https://dailycaller.com/2021/06/01/joe-biden-lloyd-austin-pentagon-budget-2022/,no claim,14
https://dailycaller.com/2021/06/09/joe-biden-united-kingdom-global-warming-climate-change/,no claim,5
https://dailycaller.com/2021/06/10/biden-trump-joint-chiefs-of-staff-climate-change/,no claim,7
https://dailycaller.com/2021/06/10/china-russia-joint-chiefs-biden-global-warming/,no claim,8
https://dailycaller.com/2021/06/10/china-russia-joint-chiefs-biden-global-warming/,Climate policies (mitigation or adaptation) are harmful,1
https://dailycaller.com/2021/07/01/covid-19-coronavirus-children-masks-study-cdc-who/,no claim,10
https://dailycaller.com/2021/08/07/climate-envoy-john-kerry-took-private-jet-obama-birthday-bash/,no claim,10
https://dailycaller.com/2021/09/03/covid-19-lockdowns-economy-climate-change-environment/,no claim,10
https://dailycaller.com/2021/09/03/covid-19-lockdowns-economy-climate-change-environment/,Climate movement is unreliable/alarmist/corrupt,2
https://dailycaller.com/2021/10/07/climate-change-illegal-border-crossings-department-of-homeland-security/,no claim,10
https://dailycaller.com/2021/10/07/white-house-climate-change-energy-prices-jen-psaki-joe-biden/,no claim,10
https://dailycaller.com/2021/10/07/white-house-climate-change-energy-prices-jen-psaki-joe-biden/,People need energy (e.g. from fossil fuels/nuclear),1
https://dailycaller.com/2021/10/11/united-states-european-union-methane-emissions-climate-change-china-russia-india/,no claim,14
https://dailycaller.com/2021/10/11/united-states-european-union-methane-emissions-climate-change-china-russia-india/,Climate policies (mitigation or adaptation) are harmful,4
https://dailycaller.com/2021/10/14/climate-activists-grapple-police-interior-department/,no claim,9
https://dailycaller.com/2021/11/02/greta-thunberg-climate-crisis-up-your-arse-glasow-cop/,no claim,9
https://dailycaller.com/2021/11/07/john-barrasso-climate-conference-joe-biden-pledged-allegiance-flag-united-nations/,no claim,13
https://dailycaller.com/2021/11/13/cop26-climate-pact-us-china-india-fossil-fuels/,no claim,10
https://dailycaller.com/2021/11/25/california-oil-gas-fracking-gavin-newsom-climate-change/,no claim,12
https://dailycaller.com/2021/11/25/california-oil-gas-fracking-gavin-newsom-climate-change/,Climate policies (mitigation or adaptation) are harmful,1
https://dailycaller.com/2021/12/27/greta-thunberg-joe-biden-administration-climate-change-united-nations/,no claim,13
https://editor.guardian.ng/news/countries-need-to-be-more-ambitious-in-climate-goals-un/,no claim,10
https://fox2now.com/news/national/president-biden-rolls-back-trump-policies-on-wall-climate-health-muslims/,no claim,12
https://fox2now.com/news/politics/teen-climate-change-activist-greta-thunberg-endorses-joe-biden/,no claim,11
https://fox4kc.com/news/president-biden-rolls-back-trump-policies-on-wall-climate-health-muslims/,no claim,12
https://fox8.com/news/teen-climate-change-activist-greta-thunberg-endorses-joe-biden/,no claim,11
https://freebeacon.com/2020-election/biden-taps-aoc-to-chair-climate-change-task-force/,no claim,13
https://freebeacon.com/2020-election/incoming-white-house-climate-team-blames-systemic-racism-for-climate-change/,no claim,10
https://freebeacon.com/2020-election/incoming-white-house-climate-team-blames-systemic-racism-for-climate-change/,Climate policies (mitigation or adaptation) are harmful,2
https://freebeacon.com/2020-election/moderate-kamala-harris-just-cosponsored-climate-legislation-with-aoc/,no claim,7
https://freebeacon.com/?p=1538205,no claim,15
https://freebeacon.com/?p=1538205,Climate movement is unreliable/alarmist/corrupt,1
https://freebeacon.com/policy/progressives-push-biden-to-include-10-trillion-climate-plan-in-infrastructure-package/,no claim,11
https://freebeacon.com/policy/progressives-push-biden-to-include-10-trillion-climate-plan-in-infrastructure-package/,Climate policies (mitigation or adaptation) are harmful,3
https://freebeacon.com/politics/bloomberg-misleadingly-claims-chinese-pollution-has-slowed-india-even-bigger-problem-for-climate/,no claim,10
https://freebeacon.com/politics/bloomberg-misleadingly-claims-chinese-pollution-has-slowed-india-even-bigger-problem-for-climate/,Climate policies areinefective/fawed,1
https://freebeacon.com/satire/coronavirus-climate-change/,no claim,8
https://guardian.ng/property/environment/experts-launch-consortium-to-elevate-vulnerable-voices-in-cop26-climate-negotiations/,no claim,15
https://guardian.ng/property/environment/experts-launch-consortium-to-elevate-vulnerable-voices-in-cop26-climate-negotiations/,Climate policies (mitigation or adaptation) are harmful,1
https://headlines.peta.org/go-vegan-earth-day/,no claim,9
https://hotair.com/archives/john-s-2/2020/02/08/solution-climate-change-human-extinction/,no claim,8
https://hotair.com/archives/john-s-2/2021/03/01/last-decade-89-new-co2-output-came-china-india/,no claim,11
https://hotair.com/archives/john-s-2/2021/03/01/last-decade-89-new-co2-output-came-china-india/,Climate policies areinefective/fawed,4
